,method,T,num_crossings0,num_crossings1,edge_cross_reduction,edge_cross_angle_reduction,aspect_ratio_reduction,num_nodes,num_edges
64,relax_and_recompute,0.0,0,0,0,0.0,0.1623187570650831,20,19
65,relax_and_recompute,0.0,279,320,-41,4.03770626668598,0.0310463809311278,100,191
66,relax_and_recompute,0.0,34,44,-10,5.911842714149969,0.0707459319435589,41,61
67,relax_and_recompute,0.0,16,29,-13,2.033873624815186,-0.0394995378406719,13,31
68,relax_and_recompute,0.0,3,4,-1,4.726903424412498,0.0987325540067655,10,15
69,relax_and_recompute,0.0,11,9,2,-2.739233020323084,0.291514719846922,37,47
70,relax_and_recompute,0.0,1,1,0,-10.351506052407174,-0.0516754372514461,21,21
71,relax_and_recompute,0.0,2,0,2,78.85625011322387,-0.0073059735853356,11,10
72,relax_and_recompute,0.0,53,67,-14,5.66753037209412,-0.0487361211944196,44,80
73,relax_and_recompute,0.0,2,3,-1,4.456451917953075,-0.2315166881511338,12,21
74,relax_and_recompute,0.0,6,0,6,76.13268626237935,0.2609704518345153,37,43
75,relax_and_recompute,0.0,23,20,3,-6.107603923555246,-0.0303684104356295,41,52
76,relax_and_recompute,0.0,0,1,-1,-69.58458762580017,-0.0971160478184203,90,89
77,relax_and_recompute,0.0,0,0,0,0.0,-0.038888114438131,22,21
78,relax_and_recompute,0.0,0,0,0,0.0,-0.2096913341520437,37,43
79,relax_and_recompute,0.0,7,1,6,-7.789558640950574,0.1041000328000119,47,47
80,relax_and_recompute,0.0,4,4,0,-1.605869467930006,0.4230741416504882,12,20
81,relax_and_recompute,0.0,112,122,-10,-1.258960093306868,0.0745933318458067,84,124
82,relax_and_recompute,0.0,7,2,5,1.465842670501047,0.0804961214422749,88,92
83,relax_and_recompute,0.0,380,279,101,-1.160225108140338,-0.1440938693809352,59,122
84,relax_and_recompute,0.0,2,4,-2,13.905608728765458,0.2436033327755631,26,31
85,relax_and_recompute,0.0,0,0,0,0.0,-0.0056972632594776,28,27
86,relax_and_recompute,0.0,2,4,-2,-1.2490507799427275,0.194493057863031,18,26
87,relax_and_recompute,0.0,3,7,-4,2.2377913215160845,0.3299713595349843,23,26
88,relax_and_recompute,0.0,0,0,0,0.0,0.0231315596808966,43,43
89,relax_and_recompute,0.0,0,1,-1,-49.073481183994254,-0.1568940614149829,22,26
90,relax_and_recompute,0.0,0,0,0,0.0,0.192888577476446,15,14
91,relax_and_recompute,0.0,7,7,0,-4.833094264004799,-0.1984402455468497,36,48
92,relax_and_recompute,0.0,16,3,13,-3.413799619803086,0.3857080459112718,30,37
93,relax_and_recompute,0.0,2,1,1,-4.62044112848686,-0.1655295322623203,10,13
94,relax_and_recompute,0.0,0,0,0,0.0,0.0448609130102647,12,11
95,relax_and_recompute,0.0,203,174,29,5.04615135639353,0.0283040497806396,55,105
96,relax_and_recompute,0.0,3,4,-1,4.073148177237911,0.4897911133810112,13,17
97,relax_and_recompute,0.0,0,0,0,0.0,-0.0377575249905289,30,29
98,relax_and_recompute,0.0,1,1,0,0.690293374761481,-0.2177842542561925,36,43
99,relax_and_recompute,0.0,45,11,34,6.043325529918043,0.229879068576723,40,60
100,relax_and_recompute,0.0,1,0,1,55.90864206468268,0.5192830197097293,13,17
101,relax_and_recompute,0.0,12,6,6,-3.186219253573036,-0.2272284839258952,23,30
