,method,T,num_crossings0,num_crossings1,edge_cross_reduction,edge_cross_angle_reduction,aspect_ratio_reduction,num_nodes,num_edges
63,relax_and_recompute,0.0,7,3,4,-15.910964521134986,-0.0018322217021985,58,71
64,relax_and_recompute,0.0,0,0,0,0.0,-0.1147932957929044,20,19
65,relax_and_recompute,0.0,510,512,-2,-0.0138388627329746,-0.001793654381577,100,191
66,relax_and_recompute,0.0,34,26,8,0.6456109020465988,0.0277449779877803,41,61
67,relax_and_recompute,0.0,33,34,-1,-0.5384989905164446,0.0398816997391653,13,31
68,relax_and_recompute,0.0,5,3,2,12.118750923999592,-0.1168739524455244,10,15
69,relax_and_recompute,0.0,6,5,1,2.3116501951879656,-0.0709648635201967,37,47
70,relax_and_recompute,0.0,0,0,0,0.0,-0.0059846962189432,21,21
71,relax_and_recompute,0.0,0,0,0,0.0,-0.0586993005228398,11,10
72,relax_and_recompute,0.0,57,57,0,0.0064914760634735,-0.0077421754008314,44,80
73,relax_and_recompute,0.0,6,3,3,1.9384908848239064,-0.2181743805279128,12,21
74,relax_and_recompute,0.0,2,2,0,40.57817790180843,-0.0379305285754828,37,43
75,relax_and_recompute,0.0,6,8,-2,-0.1735310719531781,0.0463842795036362,41,52
76,relax_and_recompute,0.0,0,1,-1,-46.752240048820696,0.0365026507213964,90,89
77,relax_and_recompute,0.0,0,0,0,0.0,-0.0185734409897135,22,21
78,relax_and_recompute,0.0,1,6,-5,-12.824308725883805,-0.0280060439235303,37,43
79,relax_and_recompute,0.0,0,1,-1,-89.65010094514068,0.1086179312853023,47,47
80,relax_and_recompute,0.0,4,6,-2,16.941840910668297,-0.0594288998091482,12,20
81,relax_and_recompute,0.0,114,149,-35,-2.165226771283031,-0.074246937434519,84,124
82,relax_and_recompute,0.0,0,0,0,0.0,0.0048268199732052,88,92
83,relax_and_recompute,0.0,380,377,3,-0.7163078021950682,-0.0065915804467664,59,122
84,relax_and_recompute,0.0,4,3,1,0.203280810508815,0.0446821006516815,26,31
85,relax_and_recompute,0.0,0,0,0,0.0,-0.0004552342701906,28,27
86,relax_and_recompute,0.0,6,3,3,17.423606921762705,-0.2587472042056525,18,26
87,relax_and_recompute,0.0,1,3,-2,-12.914228578214503,0.0322817081119266,23,26
88,relax_and_recompute,0.0,0,5,-5,-0.8399978558704028,-0.0099238347816712,43,43
89,relax_and_recompute,0.0,2,3,-1,26.34761393126834,0.2227207785283125,22,26
90,relax_and_recompute,0.0,0,0,0,0.0,0.0069609129569286,15,14
91,relax_and_recompute,0.0,10,19,-9,5.648675414166,0.1018849030252861,36,48
92,relax_and_recompute,0.0,6,6,0,3.132031887299874,-0.366934867361315,30,37
93,relax_and_recompute,0.0,1,1,0,11.616152189123014,-0.2081405675796964,10,13
94,relax_and_recompute,0.0,0,0,0,0.0,0.0064655704930129,12,11
